Vin:SAJWA4GB5EL831619, RegisterDate:11/8/1999, Make:GMC, Model:3500
Vin:1YVHZ8BH1B5840055, RegisterDate:11/22/1999, Make:Mercedes-Benz, Model:SL-Class
Vin:WA1VFBFL9EA557549, RegisterDate:12/9/1999, Make:Ferrari, Model:612 Scaglietti
Vin:JTDKTUD37ED549027, RegisterDate:12/10/1999, Make:Honda, Model:Fit
Vin:SCBBP9ZA7CC581636, RegisterDate:12/13/1999, Make:Audi, Model:V8
Vin:KNDPB3A21B7822455, RegisterDate:12/24/1999, Make:Suzuki, Model:Vitara
Vin:KMHFH4JG5FA104648, RegisterDate:12/28/1999, Make:Chevrolet, Model:Caprice
Vin:WAUSFAFL8BA694803, RegisterDate:1/8/2000, Make:Cadillac, Model:SRX
Vin:WBALL5C55EP197106, RegisterDate:1/27/2000, Make:Nissan, Model:Pathfinder
Vin:1G6DU6EA7A0056600, RegisterDate:1/29/2000, Make:Land Rover, Model:Range Rover Classic
Vin:WBA3N9C52EK664092, RegisterDate:2/1/2000, Make:Jaguar, Model:XJ Series
Vin:19VDE1F72DE454527, RegisterDate:2/12/2000, Make:BMW, Model:M5
Vin:3D73Y3CLXAG042529, RegisterDate:2/17/2000, Make:Audi, Model:Quattro
Vin:1FTSW2B50AE359197, RegisterDate:2/21/2000, Make:Land Rover, Model:Range Rover
Vin:WBAKA4C5XBC349413, RegisterDate:2/24/2000, Make:Chevrolet, Model:Astro
Vin:3C3CFFER3FT048873, RegisterDate:2/27/2000, Make:Kia, Model:Amanti
Vin:3N1BC1AP9BL997008, RegisterDate:3/4/2000, Make:Mitsubishi, Model:Endeavor
Vin:19XFB4F25DE010430, RegisterDate:3/7/2000, Make:Honda, Model:Civic
Vin:KNADH5A38B6588758, RegisterDate:3/12/2000, Make:GMC, Model:Safari
Vin:WBA3A9G52CN036020, RegisterDate:3/13/2000, Make:Lamborghini, Model:Gallardo
Vin:WBA3B3G55EN309979, RegisterDate:3/15/2000, Make:Chevrolet, Model:Express 3500
Vin:WBA1J7C5XFV521513, RegisterDate:3/21/2000, Make:Dodge, Model:Charger
Vin:WA1LMAFE3FD437352, RegisterDate:3/25/2000, Make:Mercedes-Benz, Model:300TE
Vin:WAUMFAFR5FA027089, RegisterDate:4/3/2000, Make:Dodge, Model:Magnum
Vin:KM8JT3AF1FU204416, RegisterDate:4/6/2000, Make:Isuzu, Model:Hombre Space
Vin:WAUMFAFL2CA346375, RegisterDate:4/11/2000, Make:GMC, Model:Sierra 1500
Vin:3GYEK62N96G886359, RegisterDate:4/16/2000, Make:Chevrolet, Model:3500
Vin:JN8AZ1FY5BW896295, RegisterDate:4/20/2000, Make:Ford, Model:F250
Vin:WBAPK73579A659609, RegisterDate:4/22/2000, Make:Oldsmobile, Model:Achieva
Vin:WBADT53452C767393, RegisterDate:4/24/2000, Make:Dodge, Model:Durango
Vin:WBANV1C55AB748864, RegisterDate:5/1/2000, Make:Subaru, Model:Impreza
Vin:1FMEU7EE0AU408380, RegisterDate:5/11/2000, Make:Saturn, Model:VUE
Vin:3D73M3HL7BG867398, RegisterDate:5/12/2000, Make:Ford, Model:Club Wagon
Vin:TRUVD38J291378570, RegisterDate:5/24/2000, Make:Oldsmobile, Model:Achieva
Vin:4USBT53464L082293, RegisterDate:5/30/2000, Make:Suzuki, Model:Sidekick
Vin:1C6RD7KP5CS864248, RegisterDate:6/9/2000, Make:Cadillac, Model:Seville
Vin:SCBBR53W568535463, RegisterDate:6/18/2000, Make:Dodge, Model:Ram 1500
Vin:1GYUKGEF1AR373699, RegisterDate:6/26/2000, Make:Chevrolet, Model:3500
Vin:1N6AA0CC5DN054701, RegisterDate:6/29/2000, Make:Dodge, Model:Dakota
Vin:1GYS4GEF3BR589931, RegisterDate:7/27/2000, Make:Pontiac, Model:Grand Prix
Vin:2C3CCABG9EH408105, RegisterDate:7/28/2000, Make:Lincoln, Model:MKT
Vin:2T1BURHE6EC558546, RegisterDate:7/30/2000, Make:Aston Martin, Model:V8 Vantage
Vin:WBAVB17556N802043, RegisterDate:8/6/2000, Make:Mercedes-Benz, Model:R-Class
Vin:1FTSW3A53AE206434, RegisterDate:8/25/2000, Make:Ford, Model:Mustang
Vin:1GTG5AEAXF1395136, RegisterDate:8/28/2000, Make:Mitsubishi, Model:Outlander
